media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes,gcx,pinned_record,string_region_bytes,layout_policy,records,translation_records
codec,,,1,그까녀를믿수을있,그까녀를믿수을있,8,,0,0,0,0,0,0,0,0,0,0,5,5,,,,0,5,codec:854:17,confirmed_binary_and_builder_logic,,,,,854,no,4624,per_gcx_size_preserved; no record relocation,,
codec,,,1,가다벼워지,가다지,3,벼워,2,128,0,0,0,0,0,0,2,128,0,0,,,,0,128,codec:859:17,confirmed_binary_and_builder_logic,,,,,859,no,2704,per_gcx_size_preserved; no record relocation,,
codec,,,1,그럼,그,1,럼,1,64,0,0,0,0,0,10,1,64,-10,0,,,,0,54,codec:861:18,confirmed_binary_and_builder_logic,,,,,861,no,2628,per_gcx_size_preserved; no record relocation,,
codec,,,1,괜나찮,나,1,괜찮,2,128,0,0,0,0,0,4,2,128,-4,0,,,,0,124,codec:898:24,confirmed_binary_and_builder_logic,,,,,898,no,4452,per_gcx_size_preserved; no record relocation,,
codec,,,1,과나를면숲와이통하,나를면숲와이하,7,과통,2,128,0,0,0,0,0,30,2,128,-30,0,,,,0,98,codec:909:15,confirmed_binary_and_builder_logic,,,,,909,no,2872,per_gcx_size_preserved; no record relocation,,
codec,,,1,가갔끌려어,가려어,3,갔끌,2,128,0,0,0,0,0,7,2,128,-7,0,,,,0,121,codec:911:14,confirmed_binary_and_builder_logic,,,,,911,no,2840,per_gcx_size_preserved; no record relocation,,
codec,,,3,님려령문소안열은이,려령문소안은이,7,님열,2,128,0,0,0,0,0,7,2,128,-7,0,,,,0,121,codec:927:25|codec:927:24|codec:927:30,confirmed_binary_and_builder_logic,,,,,927,no,4460,per_gcx_size_preserved; no record relocation,,
codec,,,1,게글도먹부쎄을족지질해,게도부을지해,6,글먹쎄족질,5,320,0,0,0,0,0,56,5,320,-56,0,,,,0,264,codec:956:14,confirmed_binary_and_builder_logic,,,,,956,no,3364,per_gcx_size_preserved; no record relocation,,
codec,,,6,각군그까랬말상생왜을이정한,군그까랬말상왜을이정한,11,각생,2,128,0,0,0,0,0,70,2,128,-70,0,,,,0,58,codec:992:31|codec:992:32|codec:992:33|codec:992:34|codec:992:55|codec:992:16,confirmed_binary_and_builder_logic,,,,,992,no,3528,per_gcx_size_preserved; no record relocation,,
codec,,,2,가널는로버터텨,가는로버터,5,널텨,2,128,0,0,0,0,0,5,2,128,-5,0,,,,0,123,codec:999:14|codec:999:19,confirmed_binary_and_builder_logic,,,,,999,no,2908,per_gcx_size_preserved; no record relocation,,
codec,,,1,농니닙다담아이,니다아이,4,농닙담,3,192,0,0,0,0,0,0,3,192,5,5,,,,0,197,codec:1006:17,confirmed_binary_and_builder_logic,,,,,1006,no,2968,per_gcx_size_preserved; no record relocation,,
codec,,,1,가나따라오,가나라,3,따오,2,128,0,0,0,0,0,18,2,128,-18,0,,,,0,110,codec:1039:14,confirmed_binary_and_builder_logic,,,,,1039,no,2676,per_gcx_size_preserved; no record relocation,,
codec,,,1,가같것된배아치,가같것아,4,된배치,3,192,0,0,0,0,0,16,3,192,-16,0,,,,0,176,codec:1067:14,confirmed_binary_and_builder_logic,,,,,1067,no,2828,per_gcx_size_preserved; no record relocation,,
