media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes
demo,139,59,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,582,0,582,0
demo,140,60,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1942,256,1686,0
demo,141,60,1,나너늦무었,나무었,3,너늦,2,128,0,0,0,0,0,0,2,128,3,3,1,0,128,0,1,demo:60:274338304,confirmed_binary_and_builder_logic,1942,256,1686,0
demo,142,60,2,가고드마샤설정해호확,가고드마설정해호,8,샤확,2,128,0,0,0,0,0,13,2,128,-13,0,0,0,128,0,0,demo:60:276413872|demo:60:276414148,confirmed_binary_and_builder_logic,1942,256,1686,0
demo,143,61,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,86,192,0,106
demo,144,61,2,게떻못싣아어에은잖지했,게떻못아어에은지,8,싣잖했,3,192,0,0,0,0,0,39,3,192,-39,0,0,0,192,0,0,demo:61:277863332|demo:61:277863584,confirmed_binary_and_builder_logic,86,192,0,106
demo,145,61,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,86,192,0,106
demo,146,61,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,86,192,0,106
demo,147,61,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,86,192,0,106
demo,148,61,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,86,192,0,106
demo,149,62,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,646,0,646,0
demo,150,62,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,646,0,646,0
demo,151,62,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,646,0,646,0
demo,152,62,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,646,0,646,0
demo,153,62,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,646,0,646,0
