term,occurrences,unique_rows,category,existing_reference
false,625,8,FLORA_FAUNA,
siberian,625,8,FLORA_FAUNA,
ink,625,8,FLORA_FAUNA,
all,625,7,OTHER,
jumpin',625,4,OTHER,
johnny,625,4,OTHER,
pillow,625,4,OTHER,
rock,625,4,OTHER,
baby,625,4,OTHER,
sailor,625,4,OTHER,
don't,625,8,OTHER,
afraid,625,8,OTHER,
item,624,7,MEDICINE,
stomach,623,7,OTHER,
cover,623,7,ITEM_WEAPON,
also,623,6,ITEM_WEAPON,
german,623,5,ITEM_WEAPON,
camouflage,623,6,OTHER,
resembling,623,7,FLORA_FAUNA,
rounds,623,6,ITEM_WEAPON,
too,623,7,FLORA_FAUNA,
china,623,7,FLORA_FAUNA,
glowing,623,4,FLORA_FAUNA,
pja,608,4,OTHER,
psn,608,4,OTHER,
wing,592,7,AREA_NAME,
free,592,5,OTHER,
space,592,5,OTHER,
north,561,5,AREA_NAME,
try,561,6,FLORA_FAUNA,
tunnel,561,3,AREA_NAME,
gun,549,10,TUTORIAL_CONTROL,
adjust,545,8,OTHER,
are,543,6,FLORA_FAUNA,
tranquilizer,541,8,TUTORIAL_CONTROL,
solid,540,8,FLORA_FAUNA,
being,540,4,ITEM_WEAPON,
any,539,7,OTHER,
bullet,537,9,OTHER,
area,536,5,ITEM_WEAPON,
uses,534,6,ITEM_WEAPON,
high,534,6,ITEM_WEAPON,
contains,534,6,FLORA_FAUNA,
appear,534,6,MEDICINE,
decrease,534,6,MEDICINE,
nutrients,534,6,FOOD,
america,534,6,FLORA_FAUNA,
tail,534,6,FLORA_FAUNA,
brightly,534,6,FLORA_FAUNA,
colored,534,6,FLORA_FAUNA,
largest,534,6,FLORA_FAUNA,
means,534,6,FLORA_FAUNA,
india,534,6,FLORA_FAUNA,
southern,534,6,FLORA_FAUNA,
sleepy,534,6,FLORA_FAUNA,
cut,534,5,INJURY,
suffering,534,6,INJURY,
change,534,3,OTHER,
ecouter,534,6,OTHER,
starry,534,6,OTHER,
boys,534,6,OTHER,
how,530,91,TUTORIAL_CONTROL,
stealth,516,3,FOOD,
scope,510,5,ITEM_WEAPON,
insert,490,5,OTHER,
aim,479,109,TUTORIAL_CONTROL,
key,468,6,OTHER,
remove,465,8,TUTORIAL_CONTROL,
eater,459,8,FLORA_FAUNA,
greno,456,3,OTHER,
med,456,3,OTHER,
cannot,455,8,FLORA_FAUNA,
svyatogornyj,454,4,AREA_NAME,
animals,453,8,TUTORIAL_CONTROL,
leech,453,4,TUTORIAL_CONTROL,
life,453,6,MEDICINE,
serious,451,5,OTHER,
injuries,451,5,OTHER,
items,451,5,MEDICINE,
zero,451,4,OTHER,
out,450,7,ITEM_WEAPON,
countless,450,5,OTHER,
achieve,450,5,OTHER,
result,450,5,OTHER,
exposed,450,5,OTHER,
left,450,5,OTHER,
victims,450,5,OTHER,
wake,450,5,OTHER,
rifle,449,6,ITEM_WEAPON,
solidus,449,7,FLORA_FAUNA,
allows,449,7,ITEM_WEAPON,
dark,449,7,ITEM_WEAPON,
controls,449,5,OTHER,
been,448,6,OTHER,
leeches,447,4,TUTORIAL_CONTROL,
heal,447,4,OTHER,
portable,447,6,FOOD,
animal,447,5,FLORA_FAUNA,
highly,447,6,FLORA_FAUNA,
military,447,6,FOOD,
gray,447,4,FLORA_FAUNA,
salty,447,3,OTHER,
catfish,447,3,OTHER,
cuts,445,6,TUTORIAL_CONTROL,
wounds,445,6,TUTORIAL_CONTROL,
forested,445,5,ITEM_WEAPON,
makes,445,5,ITEM_WEAPON,
before,445,5,FLORA_FAUNA,
provide,445,5,ITEM_WEAPON,
trees,445,5,FLORA_FAUNA,
french,445,3,ITEM_WEAPON,
italian,445,3,ITEM_WEAPON,
spanish,445,3,ITEM_WEAPON,
have,445,4,FLORA_FAUNA,
continually,445,5,MEDICINE,
until,445,5,MEDICINE,
quite,445,5,FLORA_FAUNA,
water,445,4,OTHER,
wasn't,445,5,FLORA_FAUNA,
shimeji,445,5,FLORA_FAUNA,
grey,445,5,FLORA_FAUNA,
became,445,5,FLORA_FAUNA,
shiitake,445,5,FLORA_FAUNA,
escucha,445,5,OTHER,
cigar,421,4,OTHER,
fork,421,4,TUTORIAL_CONTROL,
mask,420,4,OTHER,
war,419,4,ITEM_WEAPON,
saving,396,6,OTHER,
main,394,4,AREA_NAME,
check,394,5,OTHER,
yes,392,4,OTHER,
please,392,4,OTHER,
least,392,4,OTHER,
dkb,392,4,OTHER,
required,392,4,OTHER,
present,392,4,OTHER,
again,385,6,OTHER,
touch,378,15,TUTORIAL_CONTROL,
krasnogorje,376,4,AREA_NAME,
operation,370,7,FLORA_FAUNA,
return,370,4,OTHER,
new,369,5,OTHER,
create,367,5,OTHER,
during,366,4,ITEM_WEAPON,
underground,365,3,FLORA_FAUNA,
equipped,364,6,TUTORIAL_CONTROL,
infinity,364,4,ITEM_WEAPON,
fox,363,3,FOOD,
honey,362,7,FLORA_FAUNA,
position,361,4,TUTORIAL_CONTROL,
person,360,4,OTHER,
saves,360,4,MEDICINE,
higher,360,4,MEDICINE,
clear,360,4,OTHER,
display,359,4,OTHER,
