src,dst,kind,status,error
analysis/ps2_korean/analysis_bundle/review4/swap-trials/combo-best-plus-jin-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/combo-best-plus-jin-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/combo-best-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/combo-best-report.json,FILE,OK,
analysis/ps2_korean/analysis_bundle/review4/swap-trials/combo-position-report.json,archive/old-data/ps2_korean/analysis_bundle/review4/swap-trials/combo-position-report.json,FILE,OK,
analysis/ps2_korean/full_build/_scratch/movie_baseline_inspect.csv,archive/old-data/ps2_korean/full_build/_scratch/movie_baseline_inspect.csv,FILE,OK,
analysis/arm,experiments/arm,DIR,OK,
analysis/citra_smoke_runtime/citra.exe,experiments/citra_smoke_runtime/citra.exe,FILE,OK,
analysis/citra_smoke_runtime/citra_log_191.txt,experiments/citra_smoke_runtime/citra_log_191.txt,FILE,OK,
analysis/citra_smoke_runtime/qt.conf,experiments/citra_smoke_runtime/qt.conf,FILE,OK,
analysis/citra_smoke_runtime/Qt6Core.dll,experiments/citra_smoke_runtime/Qt6Core.dll,FILE,OK,
analysis/citra_smoke_runtime/Qt6Gui.dll,experiments/citra_smoke_runtime/Qt6Gui.dll,FILE,OK,
analysis/citra_smoke_runtime/Qt6Network.dll,experiments/citra_smoke_runtime/Qt6Network.dll,FILE,OK,
analysis/citra_smoke_runtime/dist/citra.png,experiments/citra_smoke_runtime/dist/citra.png,FILE,OK,
analysis/citra_smoke_runtime/plugins/generic/qtuiotouchplugin.dll,experiments/citra_smoke_runtime/plugins/generic/qtuiotouchplugin.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/iconengines/qsvgicon.dll,experiments/citra_smoke_runtime/plugins/iconengines/qsvgicon.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/imageformats/qgif.dll,experiments/citra_smoke_runtime/plugins/imageformats/qgif.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/imageformats/qico.dll,experiments/citra_smoke_runtime/plugins/imageformats/qico.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/imageformats/qjpeg.dll,experiments/citra_smoke_runtime/plugins/imageformats/qjpeg.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/imageformats/qsvg.dll,experiments/citra_smoke_runtime/plugins/imageformats/qsvg.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/multimedia/windowsmediaplugin.dll,experiments/citra_smoke_runtime/plugins/multimedia/windowsmediaplugin.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/networkinformation/qnetworklistmanager.dll,experiments/citra_smoke_runtime/plugins/networkinformation/qnetworklistmanager.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/platforms/qwindows.dll,experiments/citra_smoke_runtime/plugins/platforms/qwindows.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/styles/qwindowsvistastyle.dll,experiments/citra_smoke_runtime/plugins/styles/qwindowsvistastyle.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/tls/qcertonlybackend.dll,experiments/citra_smoke_runtime/plugins/tls/qcertonlybackend.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/tls/qopensslbackend.dll,experiments/citra_smoke_runtime/plugins/tls/qopensslbackend.dll,FILE,OK,
analysis/citra_smoke_runtime/plugins/tls/qschannelbackend.dll,experiments/citra_smoke_runtime/plugins/tls/qschannelbackend.dll,FILE,OK,
analysis/citra_smoke_runtime/user/config/sdl2-config.ini,experiments/citra_smoke_runtime/user/config/sdl2-config.ini,FILE,OK,
analysis/citra_smoke_runtime/user/config/telemetry_id,experiments/citra_smoke_runtime/user/config/telemetry_id,FILE,OK,
analysis/citra_smoke_runtime/user/log/citra_log.txt,experiments/citra_smoke_runtime/user/log/citra_log.txt,FILE,OK,
analysis/citra_smoke_runtime/user/log/citra_log.txt.old.txt,experiments/citra_smoke_runtime/user/log/citra_log.txt.old.txt,FILE,OK,
analysis/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/extdata/00048000/F000000B/metadata,experiments/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/extdata/00048000/F000000B/metadata,FILE,OK,
analysis/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/extdata/00048000/F000000B/user/gamecoin.dat,experiments/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/extdata/00048000/F000000B/user/gamecoin.dat,FILE,OK,
analysis/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010017/00000000/config,experiments/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010017/00000000/config,FILE,OK,
analysis/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010026/00000000/eventlog.dat,experiments/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010026/00000000/eventlog.dat,FILE,OK,
analysis/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010026/00000000/CEC/MBoxList____,experiments/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010026/00000000/CEC/MBoxList____,FILE,OK,
analysis/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010035/00000000/news.db,experiments/citra_smoke_runtime/user/nand/data/00000000000000000000000000000000/sysdata/00010035/00000000/news.db,FILE,OK,
analysis/citra_smoke_runtime/user/sdmc/Nintendo 3DS/00000000000000000000000000000000/00000000000000000000000000000000/title/00040000/00081e00/data/00000001.metadata,experiments/citra_smoke_runtime/user/sdmc/Nintendo 3DS/00000000000000000000000000000000/00000000000000000000000000000000/title/00040000/00081e00/data/00000001.metadata,FILE,OK,
analysis/citra_smoke_runtime/user/shaders/opengl/precompiled/separable/0004000000081E00.bin,experiments/citra_smoke_runtime/user/shaders/opengl/precompiled/separable/0004000000081E00.bin,FILE,OK,
analysis/citra_smoke_runtime/user/shaders/opengl/transferable/0004000000081E00.bin,experiments/citra_smoke_runtime/user/shaders/opengl/transferable/0004000000081E00.bin,FILE,OK,
analysis/citra_smoke_runtime/user/sysdata/aes_keys.txt,experiments/citra_smoke_runtime/user/sysdata/aes_keys.txt,FILE,OK,
analysis/citra_smoke_runtime/user/sysdata/mcu.dat,experiments/citra_smoke_runtime/user/sysdata/mcu.dat,FILE,OK,
analysis/citra_smoke_runtime/user/sysdata/seeddb.bin,experiments/citra_smoke_runtime/user/sysdata/seeddb.bin,FILE,OK,
analysis/codec_grow_stress_20260810,experiments/codec_grow_stress_20260810,DIR,OK,
analysis/fixed_budget_build_2026-08-12,experiments/fixed_budget_build_2026-08-12,DIR,OK,
analysis/full_korean_apply_2026-08-12,experiments/full_korean_apply_2026-08-12,DIR,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_filepatch_only_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_filepatch_only_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_innerpatch0010_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_innerpatch0010_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_normal_expanded_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_normal_expanded_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_override0010_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_override0010_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_override_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_override_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_parserdump0010_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_parserdump0010_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/azahar_rebuild_parserdump_20260810.log.err,experiments/gcx53_dynamic_debug/azahar_rebuild_parserdump_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/build_azahar.cmd,experiments/gcx53_dynamic_debug/build_azahar.cmd,FILE,OK,
analysis/gcx53_dynamic_debug/codec_gcx53_shift_0010_inner_offsets_patched.dat,experiments/gcx53_dynamic_debug/codec_gcx53_shift_0010_inner_offsets_patched.dat,FILE,OK,
analysis/gcx53_dynamic_debug/gdb_companion_args_controller_20260810.log.err,experiments/gcx53_dynamic_debug/gdb_companion_args_controller_20260810.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/gdb_companion_args_controller_20260810_retry.log.err,experiments/gcx53_dynamic_debug/gdb_companion_args_controller_20260810_retry.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/gdb_companion_args_controller_20260810_retry2.log.err,experiments/gcx53_dynamic_debug/gdb_companion_args_controller_20260810_retry2.log.err,FILE,OK,
analysis/gcx53_dynamic_debug/layeredfs_codec_before_shift_20260810.dat,experiments/gcx53_dynamic_debug/layeredfs_codec_before_shift_20260810.dat,FILE,OK,
analysis/gcx53_dynamic_debug/log_run_A_normal_20260809_160305.txt,experiments/gcx53_dynamic_debug/log_run_A_normal_20260809_160305.txt,FILE,OK,
analysis/gcx53_dynamic_debug/rebuild_azahar.cmd,experiments/gcx53_dynamic_debug/rebuild_azahar.cmd,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/code.poc.bin,experiments/global_korean_glyph_poc_2026-08-12/code.poc.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/code.poc.decompressed.bin,experiments/global_korean_glyph_poc_2026-08-12/code.poc.decompressed.bin,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/desktop_debug.png,experiments/global_korean_glyph_poc_2026-08-12/desktop_debug.png,FILE,OK,
analysis/global_korean_glyph_poc_2026-08-12/exheader.poc.bin,experiments/global_korean_glyph_poc_2026-08-12/exheader.poc.bin,FILE,OK,
